ID,teamName,year,avgPPD,oppTO,penalties,TO,wins,roundedTO,roundedPPD,roundedOppTO,roundedPenalties,playoffs
26,atl,2019,2.15,20,119,25,7,25,2,20,120,NO
28,car,2019,1.73,21,87,35,5,35,1.5,20,90,NO
23,chi,2019,1.5,19,103,19,8,20,1.5,20,105,NO
8,cin,2019,1.53,16,93,30,2,30,1.5,15,90,NO
7,cle,2019,1.84,20,122,28,6,30,2,20,120,NO
11,clt,2019,2,23,79,21,7,20,2,25,75,NO
32,crd,2019,2.02,17,121,18,5,20,2,15,120,NO
18,dal,2019,2.43,17,109,18,8,20,2.5,15,105,NO
14,den,2019,1.62,17,110,16,7,15,1.5,15,105,NO
24,det,2019,1.78,18,113,23,3,25,2,20,120,NO
12,jax,2019,1.63,19,132,20,6,20,1.5,20,135,NO
4,mia,2019,1.63,16,92,26,5,25,1.5,15,90,NO
19,nyg,2019,1.72,16,90,33,4,35,1.5,15,90,NO
3,nyj,2019,1.21,21,115,25,7,25,1,20,120,NO
6,pit,2019,1.38,38,111,30,8,30,1.5,40,105,NO
15,rai,2019,1.86,15,128,17,7,15,2,15,135,NO
31,ram,2019,1.98,24,118,24,9,25,2,25,120,NO
16,sdg,2019,2.1,14,103,31,5,30,2,15,105,NO
27,tam,2019,2.12,28,133,41,7,40,2,30,135,NO
20,was,2019,1.53,22,106,21,3,20,1.5,20,105,NO
58,atl,2018,2.4,19,101,18,7,20,2.5,20,105,NO
35,buf,2018,1.39,27,116,32,6,30,1.5,25,120,NO
59,car,2018,2.15,23,92,22,7,20,2,25,90,NO
40,cin,2018,2.03,18,114,17,6,15,2,20,120,NO
39,cle,2018,1.81,31,112,24,7,25,2,30,105,NO
64,crd,2018,1.09,16,101,28,3,30,1,15,105,NO
47,den,2018,1.72,28,125,21,6,20,1.5,30,120,NO
56,det,2018,1.82,14,94,19,6,20,2,15,90,NO
55,gnb,2018,2.04,15,108,15,6,15,2,15,105,NO
44,jax,2018,1.24,17,121,29,5,30,1,15,120,NO
34,mia,2018,1.59,28,108,23,7,25,1.5,30,105,NO
54,min,2018,1.8,20,92,20,8,20,2,20,90,NO
52,nyg,2018,1.97,21,114,19,5,20,2,20,120,NO
36,nyj,2018,1.57,20,114,30,4,30,1.5,20,120,NO
43,oti,2018,1.82,17,82,18,9,20,2,15,75,NO
38,pit,2018,2.23,15,111,26,9,25,2,15,105,NO
48,rai,2018,1.57,17,110,24,4,25,1.5,15,105,NO
63,sfo,2018,1.86,7,112,32,4,30,2,5,105,NO
60,tam,2018,2.15,17,117,35,5,35,2,15,120,NO
51,was,2018,1.61,26,115,19,7,20,1.5,25,120,NO
88,chi,2017,1.32,22,115,22,5,20,1.5,20,120,NO
71,cin,2017,1.46,14,110,23,7,25,1.5,15,105,NO
72,cle,2017,1.22,13,110,41,0,40,1,15,105,NO
75,clt,2017,1.42,20,92,15,4,15,1.5,20,90,NO
95,crd,2017,1.41,21,110,25,8,25,1.5,20,105,NO
82,dal,2017,2.02,21,97,22,9,20,2,20,90,NO
80,den,2017,1.35,17,113,34,5,35,1.5,15,120,NO
86,det,2017,1.96,32,104,22,9,20,2,30,105,NO
87,gnb,2017,1.79,22,96,25,7,25,2,20,90,NO
76,htx,2017,1.63,16,124,28,4,30,1.5,15,120,NO
67,mia,2017,1.36,15,137,29,6,30,1.5,15,135,NO
84,nyg,2017,1.22,19,91,22,3,20,1,20,90,NO
68,nyj,2017,1.5,20,119,24,5,25,1.5,20,120,NO
79,rai,2017,1.69,14,114,28,6,30,1.5,15,120,NO
70,rav,2017,1.84,34,91,17,9,15,2,35,90,NO
78,sdg,2017,1.88,27,108,15,9,15,2,25,105,NO
94,sea,2017,1.71,25,148,17,9,15,1.5,25,150,NO
96,sfo,2017,1.78,20,123,23,6,25,2,20,120,NO
92,tam,2017,1.79,26,104,27,5,25,2,25,105,NO
83,was,2017,1.73,23,92,27,7,25,1.5,25,90,NO
121,atl,2016,2.9,22,104,11,11,10,3,20,105,NO
99,buf,2016,2.14,18,112,12,7,10,2,20,105,NO
120,chi,2016,1.49,11,110,31,3,30,1.5,10,105,NO
104,cle,2016,1.44,13,95,25,1,25,1.5,15,90,NO
107,clt,2016,2.24,17,103,22,8,20,2,15,105,NO
113,dal,2016,2.45,20,105,15,13,15,2.5,20,105,NO
111,den,2016,1.54,27,119,25,9,25,1.5,25,120,NO
